,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country,Debut Year,Last Year,Total Years,Innings per Matches,Not outs per innings,Arithmatic Average of Total Runs by Inns Played,Not Out when scored highest,HS Numeric,100's per innings,50's per innings,0's per innings,4s numeric,6s numeric,boundaries,4s per Inns,6s per Inns,Boundary Ave per Inns,boundaries per innings,runs scored by boundaries,boundaries to runs ratio,runs without boundaries,BF without boundaries,Strike Rate without boundaries,Avg runs per year
0,SR Tendulkar ,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195,INDIA,1989,2012,23,0.9762419006479481,0.09070796460176991,40.76548672566372,1,200,0.1084070796460177,0.21238938053097345,0.04424778761061947,2016,195,2211,4.460176991150442,0.4314159292035398,20.429203539823007,4.8915929203539825,9234,0.5011396939107783,9192,19157,47.982460719319306,801.1304347826087
1,KC Sangakkara ,2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88,SRI LANKA,2000,2015,15,0.9405940594059405,0.10789473684210527,37.45789473684211,0,169,0.06578947368421052,0.24473684210526317,0.039473684210526314,1385,88,1473,3.6447368421052633,0.23157894736842105,15.96842105263158,3.876315789473684,6068,0.42630321764788537,8166,16575,49.26696832579186,948.9333333333333
2,RT Ponting ,1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,1231,162,AUSTRALIA,1995,2012,17,0.9733333333333334,0.10684931506849316,37.54520547945206,0,164,0.0821917808219178,0.22465753424657534,0.0547945205479452,1231,162,1393,3.372602739726027,0.4438356164383562,16.153424657534245,3.8164383561643835,5896,0.4302393461762989,7808,15653,49.881811793266465,806.1176470588235
3,ST Jayasuriya ,1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,1500,270,SRI LANKA,1989,2011,22,0.9730337078651685,0.04157043879907621,31.016166281755197,0,189,0.06466512702078522,0.15704387990762125,0.07852193995381063,1500,270,1770,3.464203233256351,0.6235565819861432,17.598152424942263,4.087759815242494,7620,0.5673864482501861,5810,12955,44.84754920879969,610.4545454545455
4,DPMD Jayawardene ,1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,1119,76,SRI LANKA,1998,2015,17,0.9330357142857143,0.09330143540669857,30.263157894736842,0,144,0.045454545454545456,0.18421052631578946,0.06698564593301436,1119,76,1195,2.6770334928229667,0.18181818181818182,11.799043062200958,2.8588516746411483,4932,0.3898814229249012,7718,14825,52.060708263069145,744.1176470588235
5,V Kohli ,2008-2021,254,245,39,12169,183,59.07,13061,93.17,43,62,13,1140,125,INDIA,2008,2021,13,0.9645669291338582,0.15918367346938775,49.66938775510204,0,183,0.17551020408163265,0.2530612244897959,0.053061224489795916,1140,125,1265,4.653061224489796,0.5102040816326531,21.6734693877551,5.163265306122449,5310,0.436354671706796,6859,11796,58.14682943370634,936.0769230769231
6,Inzamam-ul-Haq ,1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,971,144,PAKISTAN,1991,2007,16,0.9259259259259259,0.15142857142857144,33.54,1,137,0.02857142857142857,0.23714285714285716,0.05714285714285714,971,144,1115,2.7742857142857145,0.4114285714285714,13.565714285714286,3.1857142857142855,4748,0.4044637533009626,6991,14697,47.567530788596315,733.6875
7,JH Kallis ,1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137,SOUTH AFRICA,1996,2014,18,0.9573170731707317,0.16878980891719744,36.87579617834395,0,139,0.054140127388535034,0.27388535031847133,0.054140127388535034,911,137,1048,2.9012738853503186,0.43630573248407645,14.222929936305732,3.337579617834395,4466,0.3856982468261508,7113,14837,47.940958414773874,643.2777777777778
8,SC Ganguly ,1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190,INDIA,1992,2007,15,0.9646302250803859,0.07666666666666666,37.876666666666665,0,183,0.07333333333333333,0.24,0.05333333333333334,1122,190,1312,3.74,0.6333333333333333,18.76,4.373333333333333,5628,0.4952917363372349,5735,14104,40.66222348269994,757.5333333333333
9,R Dravid ,1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,950,42,INDIA,1996,2011,15,0.9244186046511628,0.12578616352201258,34.242138364779876,0,153,0.03773584905660377,0.2610062893081761,0.040880503144654086,950,42,992,2.9874213836477987,0.1320754716981132,12.742138364779874,3.119496855345912,4052,0.3721186518504913,6837,14293,47.83460435178059,725.9333333333333
