,index,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country,Debut Year,Last Year,Total Years,Innings per Matches,Not outs per innings,Arithmatic Average of Total Runs by Inns Played,Not Out when scored highest,HS Numeric,100's per innings,50's per innings,0's per innings,4s numeric,6s numeric,boundaries,4s per Inns,6s per Inns,Boundary Ave per Inns,boundaries per innings,runs scored by boundaries,boundaries to runs ratio,runs without boundaries,BF without boundaries,Strike Rate without boundaries,Avg runs per year
0,2,A Balbirnie ,2010-2021,84,81.0,5.0,2462.0,145*,32.39,3262.0,75.47,7.0,12.0,4.0,236,30,IRELAND,2010,2021,11,0.9642857142857143,0.06172839506172839,30.395061728395063,1,145,0.08641975308641975,0.14814814814814814,0.04938271604938271,236,30,266,2.9135802469135803,0.37037037037037035,13.876543209876544,3.2839506172839505,1124,0.4565393988627132,1338.0,2996.0,44.65954606141522,223.8181818181818
1,3,AC Botha ,2006-2011,42,38.0,4.0,666.0,56,19.58,970.0,68.65,0.0,2.0,5.0,69,5,IRELAND,2006,2011,5,0.9047619047619048,0.10526315789473684,17.526315789473685,0,56,0.0,0.05263157894736842,0.13157894736842105,69,5,74,1.8157894736842106,0.13157894736842105,8.052631578947368,1.9473684210526316,306,0.4594594594594595,360.0,896.0,40.17857142857143,133.2
2,11,AR Cusack ,2007-2015,59,47.0,14.0,745.0,71,22.57,1159.0,64.27,0.0,2.0,8.0,57,6,IRELAND,2007,2015,8,0.7966101694915254,0.2978723404255319,15.851063829787234,0,71,0.0,0.0425531914893617,0.1702127659574468,57,6,63,1.2127659574468086,0.1276595744680851,5.617021276595745,1.3404255319148937,264,0.35436241610738256,481.0,1096.0,43.886861313868614,93.125
3,13,GH Dockrell ,2010-2021,96,65.0,24.0,730.0,62*,17.8,1031.0,70.8,0.0,2.0,5.0,55,11,IRELAND,2010,2021,11,0.6770833333333334,0.36923076923076925,11.23076923076923,1,62,0.0,0.03076923076923077,0.07692307692307693,55,11,66,0.8461538461538461,0.16923076923076924,4.4,1.0153846153846153,286,0.3917808219178082,444.0,965.0,46.01036269430052,66.36363636363636
4,20,DT Johnston ,2006-2013,67,53.0,15.0,743.0,45*,19.55,785.0,94.64,0.0,0.0,3.0,48,23,IRELAND,2006,2013,7,0.7910447761194029,0.2830188679245283,14.018867924528301,1,45,0.0,0.0,0.05660377358490566,48,23,71,0.9056603773584906,0.4339622641509434,6.226415094339623,1.3396226415094339,330,0.44414535666218036,413.0,714.0,57.84313725490197,106.14285714285714
5,23,EC Joyce ,2011-2018,61,60.0,8.0,2151.0,160*,41.36,2921.0,73.63,5.0,12.0,4.0,202,23,IRELAND,2011,2018,7,0.9836065573770492,0.13333333333333333,35.85,1,160,0.08333333333333333,0.2,0.06666666666666667,202,23,225,3.3666666666666667,0.38333333333333336,15.766666666666667,3.75,946,0.4397954439795444,1205.0,2696.0,44.695845697329375,307.2857142857143
6,27,AR McBrine ,2014-2021,62,39.0,10.0,445.0,79,15.34,615.0,72.35,0.0,1.0,2.0,30,8,IRELAND,2014,2021,7,0.6290322580645161,0.2564102564102564,11.41025641025641,0,79,0.0,0.02564102564102564,0.05128205128205128,30,8,38,0.7692307692307693,0.20512820512820512,4.307692307692308,0.9743589743589743,168,0.3775280898876405,277.0,577.0,48.00693240901213,63.57142857142857
7,31,BJ McCarthy ,2016-2021,38,26.0,6.0,162.0,18,8.1,285.0,56.84,0.0,0.0,4.0,13,1,IRELAND,2016,2021,5,0.6842105263157895,0.23076923076923078,6.230769230769231,0,18,0.0,0.0,0.15384615384615385,13,1,14,0.5,0.038461538461538464,2.230769230769231,0.5384615384615384,58,0.35802469135802467,104.0,271.0,38.37638376383764,32.4
8,33,JF Mooney ,2006-2015,64,55.0,14.0,963.0,96,23.48,1215.0,79.25,0.0,3.0,6.0,92,14,IRELAND,2006,2015,9,0.859375,0.2545454545454545,17.509090909090908,0,96,0.0,0.05454545454545454,0.10909090909090909,92,14,106,1.6727272727272726,0.2545454545454545,8.218181818181817,1.9272727272727272,452,0.46936656282450673,511.0,1109.0,46.077547339945895,107.0
9,37,TJ Murtagh ,2012-2019,58,36.0,12.0,188.0,23*,7.83,298.0,63.08,0.0,0.0,7.0,17,1,IRELAND,2012,2019,7,0.6206896551724138,0.3333333333333333,5.222222222222222,1,23,0.0,0.0,0.19444444444444445,17,1,18,0.4722222222222222,0.027777777777777776,2.0555555555555554,0.5,74,0.39361702127659576,114.0,280.0,40.714285714285715,26.857142857142858
