,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
0,MR Adair ,2019-2021,21,17,5,204,32,17.00,210,97.14,0,0,0,13,9,IRELAND
1,J Anderson ,2014-2016,8,8,0,151,39,18.87,267,56.55,0,0,0,19,0,IRELAND
2,A Balbirnie ,2010-2021,84,81,5,2462,145*,32.39,3262,75.47,7,12,4,236,30,IRELAND
3,AC Botha ,2006-2011,42,38,4,666,56,19.58,970,68.65,0,2,5,69,5,IRELAND
4,JP Bray ,2006-2007,15,15,1,401,116,28.64,594,67.50,2,0,2,44,6,IRELAND
5,SA Britton ,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,IRELAND
6,J Cameron-Dow ,2019-2019,4,1,1,7,7*,-,10,70.00,0,0,0,1,0,IRELAND
7,C Campher ,2020-2021,10,8,1,359,68,51.28,492,72.96,0,4,0,29,2,IRELAND
8,KED Carroll ,2007-2007,6,6,0,70,28,11.66,126,55.55,0,0,1,4,1,IRELAND
9,PKD Chase ,2015-2018,25,16,6,35,14,3.50,56,62.50,0,0,7,3,1,IRELAND
10,PC Connell ,2008-2010,13,5,3,40,22*,20.00,73,54.79,0,0,1,6,1,IRELAND
11,AR Cusack ,2007-2015,59,47,14,745,71,22.57,1159,64.27,0,2,8,57,6,IRELAND
12,GJ Delany ,2020-2021,9,9,3,120,22,20.00,147,81.63,0,0,1,14,1,IRELAND
13,GH Dockrell ,2010-2021,96,65,24,730,62*,17.80,1031,70.80,0,2,5,55,11,IRELAND
14,PS Eaglestone ,2008-2008,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0,IRELAND
15,MJ Fourie ,2007-2008,7,5,3,42,19*,21.00,51,82.35,0,0,0,4,1,IRELAND
16,SC Getkate ,2019-2021,4,2,1,23,16*,23.00,23,100.00,0,0,0,2,1,IRELAND
17,PG Gillespie ,2006-2007,5,4,0,2,2,0.50,14,14.28,0,0,3,0,0,IRELAND
18,RS Haire ,2008-2008,2,2,0,56,54,28.00,72,77.77,0,1,0,7,1,IRELAND
19,JD Hall ,2010-2010,3,3,0,28,15,9.33,75,37.33,0,0,0,3,0,IRELAND
20,DT Johnston ,2006-2013,67,53,15,743,45*,19.55,785,94.64,0,0,3,48,23,IRELAND
21,NG Jones ,2010-2011,14,9,4,74,25*,14.80,102,72.54,0,0,0,2,0,IRELAND
22,DI Joyce ,2006-2007,3,3,0,29,18,9.66,56,51.78,0,0,1,4,0,IRELAND
23,EC Joyce ,2011-2018,61,60,8,2151,160*,41.36,2921,73.63,5,12,4,202,23,IRELAND
24,GE Kidd ,2007-2008,6,1,0,15,15,15.00,25,60.00,0,0,0,2,0,IRELAND
25,D Langford-Smith ,2006-2008,22,17,8,142,31*,15.77,133,106.76,0,0,2,8,6,IRELAND
26,JB Little ,2019-2021,16,7,2,25,9*,5.00,34,73.52,0,0,1,4,0,IRELAND
27,AR McBrine ,2014-2021,62,39,10,445,79,15.34,615,72.35,0,1,2,30,8,IRELAND
28,WK McCallan ,2006-2009,39,28,10,361,50*,20.05,419,86.15,0,1,5,36,2,IRELAND
29,RD McCann ,2010-2010,8,5,1,44,18,11.00,77,57.14,0,0,1,3,0,IRELAND
30,GJ McCarter ,2014-2014,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,IRELAND
31,BJ McCarthy ,2016-2021,38,26,6,162,18,8.10,285,56.84,0,0,4,13,1,IRELAND
32,JA McCollum ,2019-2021,10,10,0,188,73,18.80,280,67.14,0,2,1,26,1,IRELAND
33,JF Mooney ,2006-2015,64,55,14,963,96,23.48,1215,79.25,0,3,6,92,14,IRELAND
34,PJK Mooney ,2006-2007,4,3,2,12,11*,12.00,9,133.33,0,0,1,1,0,IRELAND
35,EJG Morgan ,2006-2009,23,23,2,744,115,35.42,1038,71.67,1,5,3,66,18,IRELAND
36,J Mulder ,2017-2017,4,2,2,15,15*,-,11,136.36,0,0,0,2,0,IRELAND
37,TJ Murtagh ,2012-2019,58,36,12,188,23*,7.83,298,63.08,0,0,7,17,1,IRELAND
38,KJ O'Brien ,2006-2021,153,141,18,3619,142,29.42,4076,88.78,2,18,6,332,84,IRELAND
39,NJ O'Brien ,2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3,218,30,IRELAND
40,WTS Porterfield ,2006-2021,145,142,3,4317,139,31.05,6259,68.97,11,20,10,452,31,IRELAND
41,AD Poynter ,2008-2014,19,16,3,255,78,19.61,412,61.89,0,2,3,17,7,IRELAND
42,SW Poynter ,2014-2019,21,19,5,185,36,13.21,278,66.54,0,0,2,15,0,IRELAND
43,WB Rankin ,2007-2020,68,32,20,95,18*,7.91,234,40.59,0,0,4,4,1,IRELAND
44,EJ Richardson ,2013-2013,2,1,0,12,12,12.00,18,66.66,0,0,0,2,0,IRELAND
45,JNK Shannon ,2013-2013,1,1,0,2,2,2.00,8,25.00,0,0,0,0,0,IRELAND
46,Simi Singh ,2017-2021,33,28,4,547,100*,22.79,771,70.94,1,1,2,43,6,IRELAND
47,MC Sorensen ,2013-2016,13,8,2,125,31,20.83,155,80.64,0,0,0,12,3,IRELAND
